0.3125 48.416666666666664 112.0 40.458333333333336 90.97916666666667 44.645833333333336 12.520833333333334 37.3125 33.604166666666664 18.5625 22.791666666666668 81.14583333333333 9.645833333333334 33.541666666666664 43.1875 23.770833333333332 15.666666666666666 7.5625 5.166666666666667 22.958333333333332 0.3333333333333333 48.3125 101.375 36.875 85.625 43.229166666666664 11.5625 33.625 34.229166666666664 16.0625 21.291666666666668 75.33333333333333 11.208333333333334 32.166666666666664 43.375 23.895833333333332 14.125 6.458333333333333 4.166666666666667 18.729166666666668 |Mar 09, 2020 - ATL vs. CHA|
0.32653061224489793 48.61224489795919 112.63265306122449 40.714285714285715 91.08163265306122 44.87755102040816 12.693877551020408 37.42857142857143 33.89795918367347 18.510204081632654 22.877551020408163 80.6938775510204 9.693877551020408 33.69387755102041 43.38775510204081 23.959183673469386 15.673469387755102 7.428571428571429 5.163265306122449 23.020408163265305 0.32653061224489793 48.40816326530612 106.40816326530613 40.59183673469388 89.81632653061224 45.224489795918366 9.16326530612245 28.142857142857142 32.61224489795919 16.06122448979592 22.959183673469386 70.12244897959184 11.959183673469388 34.775510204081634 46.734693877551024 22.346938775510203 14.142857142857142 7.224489795918367 4.73469387755102 21.612244897959183 |Mar 11, 2020 - ATL vs. NYK|
0.6458333333333334 48.416666666666664 113.45833333333333 41.4375 89.0 46.625 12.3125 33.666666666666664 36.791666666666664 18.270833333333332 22.770833333333332 80.41666666666667 10.770833333333334 34.854166666666664 45.625 22.354166666666668 13.979166666666666 8.145833333333334 5.604166666666667 21.166666666666668 0.6938775510204082 48.30612244897959 112.3265306122449 41.142857142857146 85.85714285714286 48.04081632653061 10.387755102040817 29.428571428571427 35.38775510204081 19.653061224489797 24.489795918367346 80.6734693877551 8.142857142857142 34.44897959183673 42.59183673469388 22.163265306122447 12.673469387755102 7.408163265306122 5.183673469387755 18.244897959183675 |Mar 08, 2020 - BOS vs. OKC|
0.6326530612244898 48.40816326530612 113.26530612244898 41.36734693877551 89.06122448979592 46.53061224489796 12.326530612244898 33.734693877551024 36.755102040816325 18.20408163265306 22.693877551020407 80.38775510204081 10.775510204081632 34.857142857142854 45.63265306122449 22.346938775510203 13.959183673469388 8.16326530612245 5.591836734693878 21.244897959183675 0.6122448979591837 48.30612244897959 109.81632653061224 42.10204081632653 87.46938775510205 48.265306122448976 10.26530612244898 28.0 36.673469387755105 15.346938775510203 19.816326530612244 76.34693877551021 8.26530612244898 33.51020408163265 41.775510204081634 26.224489795918366 12.877551020408163 7.428571428571429 4.959183673469388 18.979591836734695 |Mar 10, 2020 - BOS @ IND|
0.4583333333333333 48.625 110.125 39.9375 90.1875 44.375 13.020833333333334 38.3125 34.291666666666664 17.229166666666668 23.3125 74.125 11.104166666666666 37.5625 48.666666666666664 24.4375 15.041666666666666 6.354166666666667 4.395833333333333 19.958333333333332 0.3333333333333333 48.3125 106.66666666666667 39.875 88.02083333333333 45.375 12.354166666666666 35.229166666666664 35.0625 14.5625 19.25 75.20833333333333 10.416666666666666 30.583333333333332 41.0 23.375 15.479166666666666 10.166666666666666 4.041666666666667 21.0625 |Mar 08, 2020 - BKN vs. CHI|
0.46938775510204084 48.61224489795919 110.12244897959184 39.775510204081634 89.65306122448979 44.48979591836735 12.979591836734693 38.142857142857146 34.3469387755102 17.591836734693878 23.6734693877551 74.34693877551021 10.979591836734693 37.714285714285715 48.69387755102041 24.367346938775512 15.326530612244898 6.3061224489795915 4.408163265306122 20.040816326530614 0.7755102040816326 48.10204081632653 115.53061224489795 43.04081632653061 88.36734693877551 48.69387755102041 11.428571428571429 31.775510204081634 35.857142857142854 18.020408163265305 24.857142857142858 72.36734693877551 10.83673469387755 35.36734693877551 46.204081632653065 25.755102040816325 15.122448979591837 8.693877551020408 6.63265306122449 20.612244897959183 |Mar 10, 2020 - BKN @ LAL|
0.3333333333333333 48.3125 101.375 36.875 85.625 43.229166666666664 11.5625 33.625 34.229166666666664 16.0625 21.291666666666668 75.33333333333333 11.208333333333334 32.166666666666664 43.375 23.895833333333332 14.125 6.458333333333333 4.166666666666667 18.729166666666668 0.3125 48.416666666666664 112.0 40.458333333333336 90.97916666666667 44.645833333333336 12.520833333333334 37.3125 33.604166666666664 18.5625 22.791666666666668 81.14583333333333 9.645833333333334 33.541666666666664 43.1875 23.770833333333332 15.666666666666666 7.5625 5.166666666666667 22.958333333333332 |Mar 09, 2020 - CHA @ ATL|
0.32653061224489793 48.51020408163265 102.12244897959184 37.12244897959184 86.0 43.30612244897959 11.714285714285714 33.91836734693877 34.326530612244895 16.163265306122447 21.3265306122449 75.65306122448979 11.142857142857142 32.06122448979592 43.204081632653065 24.040816326530614 13.938775510204081 6.510204081632653 4.204081632653061 18.79591836734694 0.6122448979591837 48.816326530612244 112.89795918367346 39.714285714285715 85.0204081632653 46.857142857142854 13.591836734693878 35.44897959183673 38.46938775510204 19.877551020408163 25.3265306122449 77.6938775510204 8.428571428571429 36.48979591836735 44.91836734693877 25.959183673469386 13.63265306122449 6.714285714285714 4.26530612244898 20.163265306122447 |Mar 11, 2020 - CHA @ MIA|
0.3333333333333333 48.3125 106.66666666666667 39.875 88.02083333333333 45.375 12.354166666666666 35.229166666666664 35.0625 14.5625 19.25 75.20833333333333 10.416666666666666 30.583333333333332 41.0 23.375 15.479166666666666 10.166666666666666 4.041666666666667 21.0625 0.4583333333333333 48.625 110.125 39.9375 90.1875 44.375 13.020833333333334 38.3125 34.291666666666664 17.229166666666668 23.3125 74.125 11.104166666666666 37.5625 48.666666666666664 24.4375 15.041666666666666 6.354166666666667 4.395833333333333 19.958333333333332 |Mar 08, 2020 - CHI @ BKN|
0.32653061224489793 48.30612244897959 106.6734693877551 39.857142857142854 88.10204081632654 45.326530612244895 12.346938775510203 35.204081632653065 35.08163265306123 14.612244897959183 19.367346938775512 75.06122448979592 10.306122448979592 30.489795918367346 40.795918367346935 23.367346938775512 15.306122448979592 10.244897959183673 4.020408163265306 21.26530612244898 0.30612244897959184 48.51020408163265 107.87755102040816 41.10204081632653 88.34693877551021 46.673469387755105 11.489795918367347 32.02040816326531 35.63265306122449 14.183673469387756 18.959183673469386 74.6734693877551 11.061224489795919 33.61224489795919 44.673469387755105 23.979591836734695 16.979591836734695 6.591836734693878 3.183673469387755 18.20408163265306 |Mar 10, 2020 - CHI vs. CLE|
