MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
"Dec 11, 2019 - TOR vs. LAC",L,48,92,31,88,35.2,8,36,22.2,22,25,88.0,15,32,47,21,18,10,8,24
"Dec 09, 2019 - TOR @ CHI",W,48,93,34,90,37.8,7,29,24.1,18,26,69.2,14,40,54,19,17,8,9,12
"Dec 08, 2019 - TOR @ PHI",L,48,104,38,88,43.2,11,33,33.3,17,20,85.0,13,29,42,21,18,13,4,22
"Dec 05, 2019 - TOR vs. HOU",L,48,109,38,88,43.2,12,39,30.8,21,24,87.5,12,33,45,27,18,14,5,21
"Dec 03, 2019 - TOR vs. MIA",L,53,110,35,91,38.5,11,43,25.6,29,36,80.6,9,39,48,25,12,5,4,20
"Dec 01, 2019 - TOR vs. UTA",W,48,130,47,90,52.2,19,36,52.8,17,21,81.0,7,36,43,36,14,14,8,24
"Nov 29, 2019 - TOR @ ORL",W,48,90,31,84,36.9,11,38,28.9,17,28,60.7,11,35,46,21,14,16,4,20
"Nov 27, 2019 - TOR vs. NYK",W,48,126,46,94,48.9,21,41,51.2,13,17,76.5,17,35,52,26,12,6,4,18
"Nov 25, 2019 - TOR vs. PHI",W,48,101,38,84,45.2,11,34,32.4,14,22,63.6,8,32,40,27,10,5,5,18
"Nov 23, 2019 - TOR @ ATL",W,48,119,40,88,45.5,13,37,35.1,26,30,86.7,12,30,42,22,17,5,5,16
