MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
"Jan 17, 2020 - CHI @ PHI",L,48,89,35,81,43.2,8,35,22.9,11,15,73.3,6,31,37,21,17,8,3,14
"Jan 15, 2020 - CHI vs. WAS",W,48,115,43,85,50.6,14,38,36.8,15,22,68.2,8,33,41,26,15,11,5,19
"Jan 13, 2020 - CHI @ BOS",L,48,101,37,81,45.7,6,25,24.0,21,26,80.8,7,31,38,16,14,5,5,22
"Jan 11, 2020 - CHI @ DET",W,48,108,42,83,50.6,11,35,31.4,13,14,92.9,9,29,38,24,15,11,6,21
"Jan 10, 2020 - CHI vs. IND",L,48,105,37,80,46.3,18,41,43.9,13,16,81.3,6,30,36,16,16,6,3,15
"Jan 08, 2020 - CHI @ NOP",L,48,108,41,92,44.6,14,35,40.0,12,21,57.1,10,29,39,22,12,12,2,23
"Jan 06, 2020 - CHI @ DAL",L,48,110,46,98,46.9,9,31,29.0,9,11,81.8,17,28,45,25,9,10,6,21
"Jan 04, 2020 - CHI vs. BOS",L,48,104,34,80,42.5,13,34,38.2,23,31,74.2,11,26,37,23,16,15,5,22
"Jan 02, 2020 - CHI vs. UTA",L,48,98,37,94,39.4,11,36,30.6,13,17,76.5,15,30,45,22,11,8,5,15
"Dec 30, 2019 - CHI vs. MIL",L,48,102,40,107,37.4,17,44,38.6,5,8,62.5,14,29,43,26,10,10,2,20
"Dec 28, 2019 - CHI vs. ATL",W,48,116,43,87,49.4,15,31,48.4,15,19,78.9,13,38,51,22,17,13,5,15
"Dec 23, 2019 - CHI @ ORL",L,48,95,35,88,39.8,13,37,35.1,12,15,80.0,11,36,47,20,17,7,5,17
"Dec 21, 2019 - CHI @ DET",W,48,119,40,77,51.9,18,35,51.4,21,25,84.0,11,35,46,21,21,8,4,13
"Dec 18, 2019 - CHI @ WAS",W,53,110,39,97,40.2,11,37,29.7,21,24,87.5,11,42,53,25,15,10,6,24
"Dec 16, 2019 - CHI @ OKC",L,48,106,43,87,49.4,9,31,29.0,11,13,84.6,5,26,31,27,14,17,6,21
"Dec 14, 2019 - CHI vs. LAC",W,48,109,40,85,47.1,14,31,45.2,15,18,83.3,12,38,50,21,18,12,9,25
"Dec 13, 2019 - CHI vs. CHA",L,48,73,27,90,30.0,7,34,20.6,12,14,85.7,11,34,45,20,14,11,7,20
"Dec 11, 2019 - CHI vs. ATL",W,48,136,54,94,57.4,11,24,45.8,17,19,89.5,7,35,42,32,13,15,7,25
"Dec 09, 2019 - CHI vs. TOR",L,48,92,35,89,39.3,12,46,26.1,10,14,71.4,9,36,45,30,17,6,4,20
"Dec 08, 2019 - CHI @ MIA",L,53,105,35,80,43.8,13,36,36.1,22,27,81.5,6,33,39,20,15,8,1,31
"Dec 06, 2019 - CHI vs. GSW",L,48,98,39,88,44.3,17,41,41.5,3,5,60.0,10,27,37,21,15,11,2,20
"Dec 04, 2019 - CHI vs. MEM",W,48,106,33,77,42.9,13,33,39.4,27,37,73.0,10,40,50,22,21,5,13,22
"Dec 02, 2019 - CHI @ SAC",W,48,113,36,75,48.0,16,37,43.2,25,29,86.2,3,29,32,20,18,9,0,20
"Nov 29, 2019 - CHI @ POR",L,48,103,36,94,38.3,14,38,36.8,17,25,68.0,11,36,47,24,11,8,2,22
"Nov 27, 2019 - CHI @ GSW",L,48,90,34,89,38.2,10,29,34.5,12,18,66.7,14,28,42,20,18,14,4,20
"Nov 25, 2019 - CHI vs. POR",L,48,94,36,86,41.9,9,39,23.1,13,20,65.0,8,29,37,24,17,8,4,20
"Nov 23, 2019 - CHI @ CHA",W,48,116,43,95,45.3,22,47,46.8,8,12,66.7,13,26,39,27,13,12,3,20
"Nov 22, 2019 - CHI vs. MIA",L,48,108,41,90,45.6,10,30,33.3,16,20,80.0,14,27,41,23,13,11,3,24
