MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
"Dec 09, 2019 - UTA vs. OKC",L,48,90,36,89,40.4,8,31,25.8,10,12,83.3,7,41,48,19,15,7,0,16
"Dec 07, 2019 - UTA vs. MEM",W,48,126,45,80,56.3,19,34,55.9,17,18,94.4,9,32,41,32,22,8,0,25
"Dec 04, 2019 - UTA vs. LAL",L,48,96,34,83,41.0,14,31,45.2,14,19,73.7,8,32,40,20,20,3,3,24
"Dec 02, 2019 - UTA @ PHI",L,48,94,38,81,46.9,5,22,22.7,13,20,65.0,5,37,42,23,20,6,8,26
"Dec 01, 2019 - UTA @ TOR",L,48,110,38,90,42.2,13,35,37.1,21,29,72.4,15,36,51,21,18,5,3,17
"Nov 29, 2019 - UTA @ MEM",W,48,103,38,95,40.0,12,35,34.3,15,19,78.9,11,41,52,18,7,8,2,15
"Nov 27, 2019 - UTA @ IND",L,48,102,36,83,43.4,10,32,31.3,20,25,80.0,10,30,40,19,16,7,2,21
"Nov 25, 2019 - UTA @ MIL",L,48,118,43,85,50.6,21,45,46.7,11,12,91.7,4,36,40,29,17,4,6,23
"Nov 23, 2019 - UTA vs. NOP",W,48,128,42,82,51.2,15,36,41.7,29,33,87.9,7,42,49,29,18,2,4,21
"Nov 22, 2019 - UTA vs. GSW",W,48,113,43,85,50.6,14,32,43.8,13,16,81.3,8,40,48,23,21,4,10,14
