MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
"Dec 11, 2019 - BKN vs. CHA",L,48,108,38,88,43.2,10,38,26.3,22,33,66.7,17,35,52,20,12,5,3,21
"Dec 08, 2019 - BKN vs. DEN",W,48,105,40,87,46.0,7,28,25.0,18,23,78.3,10,38,48,25,13,5,1,15
"Dec 06, 2019 - BKN @ CHA",W,48,111,42,88,47.7,15,38,39.5,12,15,80.0,15,34,49,35,18,12,5,21
"Dec 04, 2019 - BKN @ ATL",W,48,130,50,101,49.5,14,31,45.2,16,18,88.9,18,35,53,26,15,8,6,20
"Dec 01, 2019 - BKN vs. MIA",L,48,106,40,91,44.0,14,42,33.3,12,16,75.0,9,39,48,24,12,3,5,21
"Nov 29, 2019 - BKN vs. BOS",W,48,112,43,93,46.2,17,41,41.5,9,13,69.2,13,36,49,30,20,9,6,24
"Nov 27, 2019 - BKN @ BOS",L,48,110,40,90,44.4,21,56,37.5,9,19,47.4,11,27,38,32,17,5,6,22
"Nov 25, 2019 - BKN @ CLE",W,48,108,44,94,46.8,11,34,32.4,9,11,81.8,12,36,48,29,10,8,10,21
"Nov 24, 2019 - BKN @ NYK",W,48,103,31,77,40.3,14,38,36.8,27,34,79.4,7,28,35,18,12,6,1,16
"Nov 22, 2019 - BKN vs. SAC",W,48,116,41,81,50.6,12,34,35.3,22,31,71.0,13,35,48,22,18,9,3,18
