MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
"Mar 10, 2020 - IND vs. BOS",L,48,111,46,93,49.5,9,24,37.5,10,11,90.9,10,33,43,23,12,5,8,20
"Mar 08, 2020 - IND @ DAL",W,48,112,46,88,52.3,8,23,34.8,12,18,66.7,6,41,47,23,11,5,6,23
"Mar 06, 2020 - IND @ CHI",W,48,108,38,75,50.7,8,22,36.4,24,33,72.7,10,36,46,24,22,9,8,16
"Mar 04, 2020 - IND @ MIL",L,48,100,42,97,43.3,7,27,25.9,9,11,81.8,7,32,39,22,16,12,2,18
"Mar 02, 2020 - IND @ SAS",W,48,116,39,78,50.0,15,31,48.4,23,26,88.5,6,34,40,22,13,9,5,20
"Feb 29, 2020 - IND @ CLE",W,48,113,47,87,54.0,8,23,34.8,11,14,78.6,8,30,38,30,13,10,6,20
"Feb 27, 2020 - IND vs. POR",W,48,106,40,90,44.4,8,25,32.0,18,23,78.3,13,35,48,21,14,8,4,12
"Feb 25, 2020 - IND vs. CHA",W,48,119,49,86,57.0,10,23,43.5,11,13,84.6,7,49,56,35,15,8,11,17
"Feb 23, 2020 - IND @ TOR",L,48,81,31,95,32.6,8,33,24.2,11,17,64.7,12,27,39,23,18,13,4,20
"Feb 21, 2020 - IND @ NYK",W,48,106,36,88,40.9,8,28,28.6,26,33,78.8,12,38,50,20,11,7,5,22
"Feb 12, 2020 - IND vs. MIL",W,48,118,45,86,52.3,9,27,33.3,19,24,79.2,8,36,44,28,16,10,3,21
"Feb 10, 2020 - IND vs. BKN",L,48,105,45,92,48.9,7,30,23.3,8,11,72.7,6,34,40,28,6,7,3,21
"Feb 08, 2020 - IND vs. NOP",L,48,117,44,83,53.0,9,26,34.6,20,27,74.1,2,35,37,25,14,5,9,25
"Feb 07, 2020 - IND vs. TOR",L,48,106,39,86,45.3,10,34,29.4,18,22,81.8,11,36,47,26,20,5,5,18
"Feb 05, 2020 - IND @ TOR",L,48,118,43,82,52.4,19,39,48.7,13,16,81.3,8,34,42,29,19,6,5,18
"Feb 03, 2020 - IND vs. DAL",L,48,103,44,96,45.8,7,34,20.6,8,11,72.7,8,32,40,28,4,7,6,18
"Feb 01, 2020 - IND vs. NYK",L,48,85,32,76,42.1,8,24,33.3,13,21,61.9,4,30,34,21,11,4,1,20
"Jan 29, 2020 - IND vs. CHI",W,53,115,46,89,51.7,7,27,25.9,16,22,72.7,13,33,46,26,19,8,2,14
"Jan 26, 2020 - IND @ POR",L,48,129,48,93,51.6,13,28,46.4,20,21,95.2,6,25,31,31,7,5,2,19
"Jan 24, 2020 - IND @ GSW",W,48,129,50,87,57.5,17,28,60.7,12,13,92.3,5,31,36,35,12,15,4,20
"Jan 22, 2020 - IND @ PHX",W,48,112,45,84,53.6,9,20,45.0,13,20,65.0,4,38,42,26,9,8,8,20
"Jan 20, 2020 - IND @ UTA",L,48,88,39,93,41.9,7,26,26.9,3,7,42.9,9,21,30,23,14,15,9,14
"Jan 19, 2020 - IND @ DEN",W,48,115,43,86,50.0,13,29,44.8,16,19,84.2,11,27,38,31,15,1,4,25
"Jan 17, 2020 - IND vs. MIN",W,48,116,46,82,56.1,8,24,33.3,16,20,80.0,4,37,41,24,13,4,8,20
"Jan 15, 2020 - IND @ MIN",W,48,104,44,85,51.8,7,23,30.4,9,12,75.0,7,38,45,27,15,7,3,15
"Jan 13, 2020 - IND vs. PHI",W,48,101,33,86,38.4,10,26,38.5,25,31,80.6,13,37,50,24,9,6,6,14
"Jan 10, 2020 - IND @ CHI",W,48,116,48,84,57.1,11,30,36.7,9,14,64.3,8,38,46,31,14,9,5,16
"Jan 08, 2020 - IND vs. MIA",L,48,108,40,84,47.6,9,27,33.3,19,25,76.0,6,31,37,25,12,5,3,18
