2019-2020 NBA Player Stats | NBAstuffer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
,Mo Bamba,Orl,C,21.81,56,14.8,30.8,17.1,12.8,43,0.698,169,0.544,97,0.361,0.543,0.56,5.7,5.1,18.3,0.7,7.2,0.36,1.48,0.75,7.4,110.7,95.9
,J.J. Barea,Dal,G,35.69,23,15.4,32.1,25.4,16.1,18,0.944,100,0.44,69,0.406,0.509,0.534,8.2,2,6.6,4,39,0.17,0.09,1.48,10.5,110.8,110.3
,Harrison Barnes,Sac,F,27.76,61,34.8,72.5,17.6,9.2,236,0.805,447,0.506,230,0.37,0.522,0.574,14.7,4.8,7.7,2.4,9.9,0.61,0.15,1.3,6.4,115,113.1
,RJ Barrett,Nyk,F-G,19.72,51,30.4,63.4,23.7,12.8,228,0.592,480,0.429,178,0.32,0.443,0.473,14.1,5.1,8.8,2.5,12.6,0.86,0.31,2.18,7.4,93.9,109.2
,Will Barton,Den,G,29.16,54,32.9,68.5,20.1,10.1,130,0.769,427,0.485,255,0.376,0.515,0.542,14.9,6.3,10.6,3.7,16.4,1.06,0.48,1.54,8.5,111.6,106.3
,Keita brewdog-Diop,Min,F,24.11,37,17.5,36.4,15.8,5.6,65,0.708,112,0.5,94,0.33,0.498,0.535,6.8,3,8.9,0.8,6.7,0.46,0.54,0.38,5.8,111.3,111
,Keita brewdog-Diop,Den,F,24.11,2,9.4,19.6,8.7,0,4,0.75,2,1,0,0,1,0.931,3.5,1,5.9,0,0,0,0.5,0,0,192.5,104.7
,Nicolas Batum,Cha,G-F,31.22,22,23,47.8,9.3,20.5,10,0.9,32,0.438,49,0.286,0.432,0.463,3.6,4.5,10.6,3,18.1,0.77,0.36,1,6.3,105.2,106.3
,Aron Baynes,Pho,C-F,33.23,39,21.3,44.4,20.6,10.9,66,0.727,193,0.596,136,0.331,0.555,0.577,10.6,5.5,14.4,1.6,11.8,0.18,0.51,1.13,8.5,112.4,98.3
,Kent Bazemore,Por,G-F,30.67,43,25.8,53.8,15.9,14.4,72,0.806,155,0.368,171,0.327,0.433,0.475,7.9,4,8,1.4,7.2,1.05,0.72,1.4,5.5,91.8,105.6
,Kent Bazemore,Sac,G-F,30.67,18,22.8,47.4,20.2,10,64,0.719,95,0.421,48,0.375,0.469,0.526,10,4.6,11.4,1.1,6.7,1.17,0.39,1.06,6.5,103.5,98.7
,Darius Bazley,Okc,F-G,19.72,53,17.2,35.7,14.1,13.8,47,0.681,130,0.446,100,0.3,0.448,0.475,4.5,3.7,11.9,0.5,4.3,0.38,0.66,0.75,4.7,90.2,105.9
,Bradley Beal,Was,G,26.68,53,35.9,74.8,34.4,11.4,432,0.84,766,0.523,438,0.342,0.52,0.579,30.5,4.3,6.5,6.1,28.9,1.25,0.36,3.4,10.3,113.1,114.4
,Malik Beasley,Den,G,23.27,41,18.2,37.9,20.6,10.2,38,0.868,140,0.421,161,0.36,0.485,0.511,7.9,1.9,5.7,1.2,9.1,0.76,0.15,0.88,5.8,99.8,107.1
,Malik Beasley,Min,G,23.27,10,33.6,70,23.3,7.4,21,0.762,77,0.506,90,0.433,0.584,0.599,21.1,5.2,8.1,2.3,11.5,0.7,0.2,1.4,7.5,114,109.5
,Marco Belinelli,San,G,33.94,51,14.9,30.9,17,5.4,41,0.78,114,0.412,149,0.356,0.481,0.507,5.6,1.7,6.1,1.2,11.3,0.2,0.02,0.31,6,105.7,113.2
